Date, AMD price
1999-11-01, 20.3100
1999-11-02, 20.5600
1999-11-03, 21.3100
1999-11-04, 20.6300
1999-11-05, 21.2500
1999-11-08, 21.4400
1999-11-09, 21.0600
1999-11-10, 23.0000
1999-11-11, 28.2500
1999-11-12, 26.5600
1999-11-15, 25.5600
1999-11-16, 25.7500
1999-11-17, 26.6900
1999-11-18, 26.0000
1999-11-19, 27.1300
1999-11-22, 26.9400
1999-11-23, 26.8100
1999-11-24, 27.2500
1999-11-26, 27.6900
1999-11-29, 30.5000
1999-11-30, 28.2500
1999-12-01, 27.5000
1999-12-02, 30.5000
1999-12-03, 31.0000
1999-12-06, 31.4400
1999-12-07, 31.7500
1999-12-08, 29.7500
1999-12-09, 29.3800
1999-12-10, 29.2500
1999-12-13, 29.0700
1999-12-14, 27.6300
1999-12-15, 27.1300
1999-12-16, 29.5000
1999-12-17, 29.5000
1999-12-20, 29.2500
1999-12-21, 30.0600
1999-12-22, 28.8100
1999-12-23, 28.6300
1999-12-27, 28.9400
1999-12-28, 28.7500
1999-12-29, 28.4400
1999-12-30, 28.4400
1999-12-31, 28.9400
2000-01-03, 28.9400
2000-01-04, 29.2500
2000-01-05, 29.3100
2000-01-06, 32.0000
2000-01-07, 32.5000
2000-01-10, 35.0000
2000-01-11, 34.0600
2000-01-12, 36.2500
2000-01-13, 37.7500
2000-01-14, 40.3800
2000-01-18, 39.0000
2000-01-19, 39.1900
2000-01-20, 39.0000
2000-01-21, 37.8800
2000-01-24, 34.5000
2000-01-25, 40.0000
2000-01-26, 37.0000
2000-01-27, 36.9400
2000-01-28, 35.2500
2000-01-31, 36.0000
2000-02-01, 36.5600
2000-02-02, 36.0600
2000-02-03, 39.0000
2000-02-04, 38.5600
2000-02-07, 41.3100
2000-02-08, 41.3800
2000-02-09, 42.0600
2000-02-10, 42.5000
2000-02-11, 45.5000
2000-02-14, 43.2500
2000-02-15, 43.5000
2000-02-16, 43.7500
2000-02-17, 43.0000
2000-02-18, 43.0000
2000-02-22, 41.8100
2000-02-23, 41.0600
2000-02-24, 42.5600
2000-02-25, 40.5000
2000-02-28, 37.7500
2000-02-29, 39.5000
2000-03-01, 40.5000
2000-03-02, 39.2500
2000-03-03, 41.5000
2000-03-06, 47.5000
2000-03-07, 55.0000
2000-03-08, 53.5000
2000-03-09, 58.1300
2000-03-10, 52.0000
2000-03-13, 51.5000
2000-03-14, 48.0000
2000-03-15, 49.2500
2000-03-16, 49.1900
2000-03-17, 50.0000
2000-03-20, 53.7500
2000-03-21, 54.8100
2000-03-22, 57.5000
2000-03-23, 55.3800
2000-03-24, 55.3800
2000-03-27, 54.1900
2000-03-28, 55.1300
2000-03-29, 54.7500
2000-03-30, 60.0000
2000-03-31, 59.0000
2000-04-03, 60.8800
2000-04-04, 61.1300
2000-04-05, 68.3800
2000-04-06, 71.0000
2000-04-07, 75.5000
2000-04-10, 74.2500
2000-04-11, 70.6300
2000-04-12, 70.6300
2000-04-13, 71.0000
2000-04-14, 66.0000
2000-04-17, 72.6300
2000-04-18, 79.0000
2000-04-19, 75.2500
2000-04-20, 78.2500
2000-04-24, 81.0000
2000-04-25, 87.5000
2000-04-26, 82.2500
2000-04-27, 85.2500
2000-04-28, 87.5000
2000-05-01, 88.3800
2000-05-02, 89.5000
2000-05-03, 87.7500
2000-05-04, 90.0000
2000-05-05, 92.0000
2000-05-08, 88.7500
2000-05-09, 83.5000
2000-05-10, 79.9400
2000-05-11, 87.7500
2000-05-12, 85.6900
2000-05-15, 85.5000
2000-05-16, 88.5000
2000-05-17, 85.0000
2000-05-18, 86.5000
2000-05-19, 83.8100
2000-05-22, 80.5000
2000-05-23, 75.5000
2000-05-24, 72.6900
2000-05-25, 70.6300
2000-05-26, 74.0000
2000-05-30, 86.0000
2000-05-31, 81.6300
2000-06-01, 84.0000
2000-06-02, 90.1300
2000-06-05, 91.1300
2000-06-06, 90.2500
2000-06-07, 87.0000
2000-06-08, 87.1300
2000-06-09, 88.7500
2000-06-12, 85.5000
2000-06-13, 88.0000
2000-06-14, 83.7500
2000-06-15, 82.8800
2000-06-16, 82.5000
2000-06-19, 91.8100
2000-06-20, 91.2500
2000-06-21, 95.0000
2000-06-22, 91.2500
2000-06-23, 87.6300
2000-06-26, 87.2500
2000-06-27, 84.2500
2000-06-28, 80.6900
2000-06-29, 76.2500
2000-06-30, 77.2500
2000-07-03, 84.2500
2000-07-05, 75.2500
2000-07-06, 77.5000
2000-07-07, 82.0000
2000-07-10, 85.0000
2000-07-11, 83.5000
2000-07-12, 84.3100
2000-07-13, 85.5000
2000-07-14, 90.0000
2000-07-17, 91.2500
2000-07-18, 91.0000
2000-07-19, 90.2500
2000-07-20, 86.1300
2000-07-21, 80.1300
2000-07-24, 78.0000
2000-07-25, 78.7500
2000-07-26, 76.1900
2000-07-27, 70.0000
2000-07-28, 71.0000
2000-07-31, 72.0000
2000-08-01, 67.7500
2000-08-02, 62.5000
2000-08-03, 65.5000
2000-08-04, 62.7500
2000-08-07, 65.0000
2000-08-08, 61.2500
2000-08-09, 61.7500
2000-08-10, 57.0000
2000-08-11, 57.7500
2000-08-14, 63.0000
2000-08-15, 63.7500
2000-08-16, 65.2500
2000-08-17, 68.1300
2000-08-18, 70.2500
2000-08-21, 68.1900
2000-08-22, 34.4400
2000-08-23, 34.7500
2000-08-24, 34.9400
2000-08-25, 34.5000
2000-08-28, 34.5000
2000-08-29, 34.7500
2000-08-30, 35.0000
2000-08-31, 37.2500
2000-09-01, 37.5000
2000-09-05, 34.7500
2000-09-06, 32.0000
2000-09-07, 33.0000
2000-09-08, 31.8800
2000-09-11, 32.2500
2000-09-12, 30.5000
2000-09-13, 29.0000
2000-09-14, 28.3800
2000-09-15, 27.7500
2000-09-18, 26.5000
2000-09-19, 30.3800
2000-09-20, 29.6900
2000-09-21, 23.9400
2000-09-22, 26.5000
2000-09-25, 25.9400
2000-09-26, 24.8800
2000-09-27, 24.0000
2000-09-28, 23.6300
2000-09-29, 24.0000
2000-10-02, 23.2500
2000-10-03, 23.6900
2000-10-04, 24.5000
2000-10-05, 23.5000
