Date, BRK-A price
1999-11-01, 63700.0000
1999-11-02, 65305.0000
1999-11-03, 65500.0000
1999-11-04, 65900.0000
1999-11-05, 65300.0000
1999-11-08, 62900.0000
1999-11-09, 60900.0000
1999-11-10, 60300.0000
1999-11-11, 59200.0000
1999-11-12, 60300.0000
1999-11-15, 59600.0000
1999-11-16, 59100.0000
1999-11-17, 58900.0000
1999-11-18, 59400.0000
1999-11-19, 58200.0000
1999-11-22, 59400.0000
1999-11-23, 59000.0000
1999-11-24, 58600.0000
1999-11-26, 57400.0000
1999-11-29, 57500.0000
1999-11-30, 57300.0000
1999-12-01, 57600.0000
1999-12-02, 57000.0000
1999-12-03, 56600.0000
1999-12-06, 56400.0000
1999-12-07, 55900.0000
1999-12-08, 55500.0000
1999-12-09, 54500.0000
1999-12-10, 54800.0000
1999-12-13, 55500.0000
1999-12-14, 53400.0000
1999-12-15, 54600.0000
1999-12-16, 54000.0000
1999-12-17, 54700.0000
1999-12-20, 54800.0000
1999-12-21, 54000.0000
1999-12-22, 53700.0000
1999-12-23, 54000.0000
1999-12-27, 53400.0000
1999-12-28, 53300.0000
1999-12-29, 53000.0000
1999-12-30, 52600.0000
1999-12-31, 56100.0000
2000-01-03, 54800.0000
2000-01-04, 52000.0000
2000-01-05, 53200.0000
2000-01-06, 55000.0000
2000-01-07, 56500.0000
2000-01-10, 56000.0000
2000-01-11, 54600.0000
2000-01-12, 53600.0000
2000-01-13, 54400.0000
2000-01-14, 52200.0000
2000-01-18, 52000.0000
2000-01-19, 52800.0000
2000-01-20, 53000.0000
2000-01-21, 52900.0000
2000-01-24, 52900.0000
2000-01-25, 52800.0000
2000-01-26, 53000.0000
2000-01-27, 52650.0000
2000-01-28, 52300.0000
2000-01-31, 51200.0000
2000-02-01, 51900.0000
2000-02-02, 50900.0000
2000-02-03, 51255.0000
2000-02-04, 51050.0000
2000-02-07, 51500.0000
2000-02-08, 50450.0000
2000-02-09, 48500.0000
2000-02-10, 47600.0000
2000-02-11, 45200.0000
2000-02-14, 43100.0000
2000-02-15, 46000.0000
2000-02-16, 50000.0000
2000-02-17, 49900.0000
2000-02-18, 50900.0000
2000-02-22, 49000.0000
2000-02-23, 49100.0000
2000-02-24, 46500.0000
2000-02-25, 45100.0000
2000-02-28, 44700.0000
2000-02-29, 44000.0000
2000-03-01, 44700.0000
2000-03-02, 44600.0000
2000-03-03, 45050.0000
2000-03-06, 44100.0000
2000-03-07, 44300.0000
2000-03-08, 43700.0000
2000-03-09, 42300.0000
2000-03-10, 41300.0000
2000-03-13, 44800.0000
2000-03-14, 44000.0000
2000-03-15, 48500.0000
2000-03-16, 51500.0000
2000-03-17, 51300.0000
