Date, GM price
2010-11-18, 34.1900
2010-11-19, 34.2600
2010-11-22, 34.0800
2010-11-23, 33.2500
2010-11-24, 33.4800
2010-11-26, 33.8000
2010-11-29, 33.8000
2010-11-30, 34.2000
2010-12-01, 34.7800
2010-12-02, 34.6800
2010-12-03, 34.5500
2010-12-06, 34.4800
2010-12-07, 34.6800
2010-12-08, 34.4500
2010-12-09, 33.7400
2010-12-10, 33.8100
2010-12-13, 33.8000
2010-12-14, 33.8900
2010-12-15, 33.6100
2010-12-16, 33.6100
2010-12-17, 34.0000
2010-12-20, 33.7600
2010-12-21, 33.8500
2010-12-22, 34.9200
2010-12-23, 34.8100
2010-12-27, 34.6000
2010-12-28, 35.3200
2010-12-29, 36.0200
2010-12-30, 36.8200
2010-12-31, 36.8600
2011-01-03, 37.0600
2011-01-04, 37.9000
2011-01-05, 38.0700
2011-01-06, 38.9000
2011-01-07, 38.9800
2011-01-10, 38.5600
2011-01-11, 38.7500
2011-01-12, 38.6200
2011-01-13, 38.2700
2011-01-14, 38.2000
2011-01-18, 38.0300
2011-01-19, 37.4000
2011-01-20, 37.1800
2011-01-21, 37.2400
2011-01-24, 37.6400
2011-01-25, 38.4000
2011-01-26, 37.8900
2011-01-27, 38.6700
2011-01-28, 36.6000
2011-01-31, 36.4900
2011-02-01, 36.4500
2011-02-02, 35.6800
2011-02-03, 36.0600
2011-02-04, 36.5900
2011-02-07, 36.7000
2011-02-08, 36.8900
2011-02-09, 36.4100
2011-02-10, 35.8800
2011-02-11, 36.4500
2011-02-14, 36.2900
2011-02-15, 36.1100
2011-02-16, 36.7500
2011-02-17, 36.3700
2011-02-18, 36.5100
2011-02-22, 35.7700
2011-02-23, 34.5900
2011-02-24, 33.0200
2011-02-25, 33.2500
2011-02-28, 33.5300
2011-03-01, 32.9500
2011-03-02, 32.8800
2011-03-03, 33.0300
2011-03-04, 32.3900
2011-03-07, 31.7000
2011-03-08, 32.7200
2011-03-09, 32.2500
2011-03-10, 31.4200
2011-03-11, 31.9300
2011-03-14, 31.5900
2011-03-15, 32.3500
2011-03-16, 31.7800
2011-03-17, 31.4400
2011-03-18, 31.8500
2011-03-21, 31.2800
2011-03-22, 30.7400
2011-03-23, 31.1600
2011-03-24, 31.3900
2011-03-25, 31.4700
2011-03-28, 30.8500
2011-03-29, 31.1000
2011-03-30, 31.5500
2011-03-31, 31.0300
2011-04-01, 32.4100
2011-04-04, 32.3900
2011-04-05, 32.8700
2011-04-06, 32.8700
2011-04-07, 32.3100
2011-04-08, 31.5200
2011-04-11, 30.7700
2011-04-12, 31.1500
2011-04-13, 30.8600
2011-04-14, 30.5800
2011-04-15, 30.2400
2011-04-18, 29.9700
2011-04-19, 29.5900
2011-04-20, 29.9300
2011-04-21, 30.9500
2011-04-25, 31.1400
2011-04-26, 31.2700
2011-04-27, 31.7800
2011-04-28, 31.9100
2011-04-29, 32.0900
2011-05-02, 32.1800
2011-05-03, 32.9900
2011-05-04, 33.0400
2011-05-05, 32.0200
2011-05-06, 31.9100
2011-05-09, 31.3900
2011-05-10, 31.6100
2011-05-11, 31.3000
2011-05-12, 31.4200
2011-05-13, 31.0700
2011-05-16, 31.1000
2011-05-17, 31.1000
2011-05-18, 31.5200
2011-05-19, 31.4700
2011-05-20, 31.1800
2011-05-23, 30.9600
2011-05-24, 30.8300
2011-05-25, 31.2700
2011-05-26, 30.6800
2011-05-27, 31.2800
2011-05-31, 31.8100
2011-06-01, 30.2300
2011-06-02, 29.6000
2011-06-03, 29.1200
2011-06-06, 28.5600
2011-06-07, 28.7800
2011-06-08, 28.8600
2011-06-09, 29.4500
2011-06-10, 28.8500
2011-06-13, 28.5900
2011-06-14, 29.1100
2011-06-15, 28.9500
2011-06-16, 28.5900
2011-06-17, 29.0000
2011-06-20, 29.5200
2011-06-21, 29.5900
2011-06-22, 29.9700
2011-06-23, 30.1400
2011-06-24, 29.9200
2011-06-27, 30.2600
2011-06-28, 30.5000
2011-06-29, 30.3000
2011-06-30, 30.3600
2011-07-01, 30.5800
2011-07-05, 30.8600
2011-07-06, 31.1900
2011-07-07, 31.8000
2011-07-08, 31.5800
2011-07-11, 30.7500
2011-07-12, 30.6800
2011-07-13, 30.7500
2011-07-14, 30.1000
2011-07-15, 29.7600
2011-07-18, 29.1000
2011-07-19, 29.3300
2011-07-20, 29.2400
2011-07-21, 29.9600
2011-07-22, 30.1000
2011-07-25, 29.5000
2011-07-26, 29.0900
2011-07-27, 28.1400
2011-07-28, 28.1000
2011-07-29, 27.6800
2011-08-01, 28.0700
2011-08-02, 27.0500
2011-08-03, 27.1700
2011-08-04, 25.9900
2011-08-05, 26.3100
2011-08-08, 24.5700
2011-08-09, 25.5400
2011-08-10, 23.9200
2011-08-11, 25.8100
2011-08-12, 25.7500
2011-08-15, 26.4200
2011-08-16, 25.8300
2011-08-17, 24.9400
2011-08-18, 23.6000
2011-08-19, 22.1600
2011-08-22, 21.7100
2011-08-23, 22.0600
2011-08-24, 22.3700
2011-08-25, 22.3000
2011-08-26, 22.8700
2011-08-29, 23.7900
2011-08-30, 23.5800
2011-08-31, 24.0300
2011-09-01, 23.0300
2011-09-02, 22.0700
2011-09-06, 21.4400
2011-09-07, 22.8600
2011-09-08, 22.4800
2011-09-09, 21.7600
2011-09-12, 21.8700
2011-09-13, 22.0000
2011-09-14, 22.1800
2011-09-15, 22.7000
2011-09-16, 22.6100
2011-09-19, 23.0500
2011-09-20, 22.4300
2011-09-21, 21.2800
2011-09-22, 20.2400
2011-09-23, 21.0000
2011-09-26, 21.0800
2011-09-27, 21.1900
2011-09-28, 20.4100
2011-09-29, 20.7600
2011-09-30, 20.1800
2011-10-03, 19.7300
2011-10-04, 21.4200
2011-10-05, 22.2700
2011-10-06, 22.3500
2011-10-07, 22.0100
2011-10-10, 22.6200
2011-10-11, 22.5000
2011-10-12, 23.4100
2011-10-13, 23.1500
2011-10-14, 24.1600
2011-10-17, 23.1800
2011-10-18, 23.5400
2011-10-19, 23.0900
2011-10-20, 22.9600
2011-10-21, 24.3500
2011-10-24, 24.9800
2011-10-25, 24.8600
2011-10-26, 24.9900
2011-10-27, 26.0600
2011-10-28, 26.4500
2011-10-31, 25.8500
2011-11-01, 23.3300
2011-11-02, 23.2000
2011-11-03, 24.0300
2011-11-04, 23.6100
2011-11-07, 24.0100
2011-11-08, 25.0400
2011-11-09, 22.3100
2011-11-10, 22.7000
2011-11-11, 22.5100
2011-11-14, 22.9900
2011-11-15, 23.3500
2011-11-16, 22.6500
2011-11-17, 21.7900
2011-11-18, 21.6800
2011-11-21, 21.0500
2011-11-22, 20.7300
2011-11-23, 20.2400
2011-11-25, 20.3400
2011-11-28, 20.7400
2011-11-29, 20.3100
2011-11-30, 21.2900
2011-12-01, 20.9600
2011-12-02, 21.2800
2011-12-05, 21.5900
2011-12-06, 21.6800
2011-12-07, 21.9400
2011-12-08, 20.9800
2011-12-09, 21.1500
2011-12-12, 20.8000
2011-12-13, 20.1100
2011-12-14, 19.4700
2011-12-15, 20.1000
2011-12-16, 20.1500
2011-12-19, 19.0500
2011-12-20, 19.6900
2011-12-21, 20.3200
2011-12-22, 20.7000
2011-12-23, 20.5000
2011-12-27, 20.0900
2011-12-28, 19.8600
2011-12-29, 20.2100
2011-12-30, 20.2700
2012-01-03, 21.0500
2012-01-04, 21.1500
2012-01-05, 22.1700
2012-01-06, 22.9200
2012-01-09, 22.8400
2012-01-10, 23.2400
2012-01-11, 24.4700
2012-01-12, 24.6700
2012-01-13, 24.2900
2012-01-17, 24.2000
2012-01-18, 24.5100
2012-01-19, 24.8200
