Date, WFC price
1999-11-01, 46.8800
1999-11-02, 47.3800
1999-11-03, 46.1300
1999-11-04, 47.0000
1999-11-05, 46.8100
1999-11-08, 47.1300
1999-11-09, 45.4400
1999-11-10, 44.9400
1999-11-11, 45.4400
1999-11-12, 47.7500
1999-11-15, 47.2500
1999-11-16, 48.1300
1999-11-17, 47.1300
1999-11-18, 47.9400
1999-11-19, 47.5000
1999-11-22, 46.8100
1999-11-23, 46.1300
1999-11-24, 46.0000
1999-11-26, 45.9400
1999-11-29, 45.0000
1999-11-30, 46.5000
1999-12-01, 46.8800
1999-12-02, 47.0600
1999-12-03, 47.1900
1999-12-06, 45.7500
1999-12-07, 44.0600
1999-12-08, 43.7000
1999-12-09, 44.7500
1999-12-10, 44.8800
1999-12-13, 44.2000
1999-12-14, 43.5000
1999-12-15, 41.8100
1999-12-16, 39.4400
1999-12-17, 39.9400
1999-12-20, 40.6600
1999-12-21, 40.0000
1999-12-22, 40.4400
1999-12-23, 41.5000
1999-12-27, 40.8800
1999-12-28, 41.1900
1999-12-29, 40.5600
1999-12-30, 40.6300
1999-12-31, 40.4400
2000-01-03, 39.1200
2000-01-04, 37.1900
2000-01-05, 37.0600
2000-01-06, 38.4400
2000-01-07, 39.1300
2000-01-10, 37.8800
2000-01-11, 37.2500
2000-01-12, 38.3100
2000-01-13, 40.4400
2000-01-14, 41.6900
2000-01-18, 38.8800
2000-01-19, 36.7500
2000-01-20, 36.3800
2000-01-21, 36.6300
2000-01-24, 35.8800
2000-01-25, 37.6300
2000-01-26, 38.0000
2000-01-27, 39.0000
2000-01-28, 38.7500
2000-01-31, 40.0000
2000-02-01, 40.4400
2000-02-02, 39.0000
2000-02-03, 38.8800
2000-02-04, 38.5600
2000-02-07, 38.1900
2000-02-08, 38.9400
2000-02-09, 37.8800
2000-02-10, 36.7500
2000-02-11, 37.8800
2000-02-14, 37.8100
2000-02-15, 37.6900
2000-02-16, 36.0000
2000-02-17, 34.9400
2000-02-18, 33.5000
2000-02-22, 35.0000
2000-02-23, 34.0000
2000-02-24, 32.8800
2000-02-25, 32.6900
2000-02-28, 34.1300
2000-02-29, 33.0600
2000-03-01, 34.6900
2000-03-02, 33.9400
2000-03-03, 34.6900
2000-03-06, 34.4400
2000-03-07, 33.0600
2000-03-08, 31.0000
2000-03-09, 32.8100
2000-03-10, 32.1900
2000-03-13, 32.6300
2000-03-14, 31.8800
2000-03-15, 36.0000
2000-03-16, 38.5000
2000-03-17, 38.5000
2000-03-20, 37.9400
2000-03-21, 39.5600
2000-03-22, 40.0000
2000-03-23, 41.4400
2000-03-24, 41.0000
2000-03-27, 40.9100
2000-03-28, 40.6900
2000-03-29, 39.4400
2000-03-30, 39.1900
2000-03-31, 40.7500
2000-04-03, 43.6900
2000-04-04, 43.2500
2000-04-05, 42.4400
2000-04-06, 40.5000
2000-04-07, 39.7500
2000-04-10, 39.5000
2000-04-11, 40.3800
2000-04-12, 42.0000
2000-04-13, 41.7500
2000-04-14, 40.0000
2000-04-17, 39.3800
